Group,Tag1 NodeId,Tag1 Name,Tag1 Value,Tag2 NodeId,Tag2 Name,Tag2 Value,Timestamp,Scan Rate (s),CPU (%),Memory (%)
24,ns=2;s=Channel2.RX3i.A14,A14,,ns=2;s=Channel2.RX3i.A140,A140,,49:51.7,2.564,0,93.5
25,ns=2;s=Channel2.RX3i.A141,A141,,ns=2;s=Channel2.RX3i.A142,A142,,49:51.7,2.564,0,93.5
1,ns=2;s=Channel2.RX3i.A1,A1,,ns=2;s=Channel2.RX3i.A10,A10,,49:51.8,2.342,7.7,93.5
2,ns=2;s=Channel2.RX3i.A100,A100,,ns=2;s=Channel2.RX3i.A1000,A1000,,49:51.8,2.342,14.3,93.5
3,ns=2;s=Channel2.RX3i.A101,A101,,ns=2;s=Channel2.RX3i.A102,A102,,49:51.8,2.342,16.7,93.5
4,ns=2;s=Channel2.RX3i.A103,A103,,ns=2;s=Channel2.RX3i.A104,A104,,49:51.8,2.342,0,93.5
5,ns=2;s=Channel2.RX3i.A105,A105,,ns=2;s=Channel2.RX3i.A106,A106,,49:51.8,2.342,0,93.5
6,ns=2;s=Channel2.RX3i.A107,A107,,ns=2;s=Channel2.RX3i.A108,A108,,13-02-2025 14:49:51.803,2.342,12.5,93.5
7,ns=2;s=Channel2.RX3i.A109,A109,,ns=2;s=Channel2.RX3i.A11,A11,,49:51.8,2.342,0,93.5
8,ns=2;s=Channel2.RX3i.A110,A110,,ns=2;s=Channel2.RX3i.A111,A111,,49:51.8,2.342,14.3,93.5
9,ns=2;s=Channel2.RX3i.A112,A112,,ns=2;s=Channel2.RX3i.A113,A113,,49:51.8,2.342,0,93.5
10,ns=2;s=Channel2.RX3i.A114,A114,,ns=2;s=Channel2.RX3i.A115,A115,,49:51.8,2.342,0,93.5
11,ns=2;s=Channel2.RX3i.A116,A116,,ns=2;s=Channel2.RX3i.A117,A117,,49:51.8,2.342,0,93.5
12,ns=2;s=Channel2.RX3i.A118,A118,,ns=2;s=Channel2.RX3i.A119,A119,,49:51.8,2.342,100,93.5
13,ns=2;s=Channel2.RX3i.A12,A12,,ns=2;s=Channel2.RX3i.A120,A120,,49:51.8,2.342,0,93.5
14,ns=2;s=Channel2.RX3i.A121,A121,,ns=2;s=Channel2.RX3i.A122,A122,,49:51.8,2.342,0,93.5
15,ns=2;s=Channel2.RX3i.A123,A123,,ns=2;s=Channel2.RX3i.A124,A124,,49:51.8,2.342,0,93.5
16,ns=2;s=Channel2.RX3i.A125,A125,,ns=2;s=Channel2.RX3i.A126,A126,,49:51.8,2.342,0,93.5
17,ns=2;s=Channel2.RX3i.A127,A127,,ns=2;s=Channel2.RX3i.A128,A128,,49:51.8,2.342,0,93.5
18,ns=2;s=Channel2.RX3i.A129,A129,,ns=2;s=Channel2.RX3i.A13,A13,,49:51.8,2.342,0,93.5
19,ns=2;s=Channel2.RX3i.A130,A130,,ns=2;s=Channel2.RX3i.A131,A131,,49:51.8,2.342,0,93.5
20,ns=2;s=Channel2.RX3i.A132,A132,,ns=2;s=Channel2.RX3i.A133,A133,,49:51.8,2.342,0,93.5
21,ns=2;s=Channel2.RX3i.A134,A134,,ns=2;s=Channel2.RX3i.A135,A135,,49:51.8,2.342,0,93.5
22,ns=2;s=Channel2.RX3i.A136,A136,,ns=2;s=Channel2.RX3i.A137,A137,,49:51.8,2.342,14.3,93.5
23,ns=2;s=Channel2.RX3i.A138,A138,,ns=2;s=Channel2.RX3i.A139,A139,,49:51.8,2.342,0,93.5
24,ns=2;s=Channel2.RX3i.A14,A14,,ns=2;s=Channel2.RX3i.A140,A140,,49:51.8,2.342,0,93.5
25,ns=2;s=Channel2.RX3i.A141,A141,,ns=2;s=Channel2.RX3i.A142,A142,,49:51.8,2.342,0,93.5
1,ns=2;s=Channel2.RX3i.A1,A1,,ns=2;s=Channel2.RX3i.A10,A10,,49:53.5,1.754,10.1,93.5
2,ns=2;s=Channel2.RX3i.A100,A100,,ns=2;s=Channel2.RX3i.A1000,A1000,,49:53.5,1.754,0,93.5
3,ns=2;s=Channel2.RX3i.A101,A101,,ns=2;s=Channel2.RX3i.A102,A102,,49:53.5,1.754,75,93.5
4,ns=2;s=Channel2.RX3i.A103,A103,,ns=2;s=Channel2.RX3i.A104,A104,,49:53.5,1.754,0,93.5
5,ns=2;s=Channel2.RX3i.A105,A105,,ns=2;s=Channel2.RX3i.A106,A106,,49:53.5,1.754,50,93.5
6,ns=2;s=Channel2.RX3i.A107,A107,,ns=2;s=Channel2.RX3i.A108,A108,,13-02-2025 14:49:53.502,1.754,0,93.5
7,ns=2;s=Channel2.RX3i.A109,A109,,ns=2;s=Channel2.RX3i.A11,A11,,49:53.5,1.754,0,93.5
8,ns=2;s=Channel2.RX3i.A110,A110,,ns=2;s=Channel2.RX3i.A111,A111,,49:53.5,1.754,12.5,93.5
9,ns=2;s=Channel2.RX3i.A112,A112,,ns=2;s=Channel2.RX3i.A113,A113,,49:53.5,1.754,0,93.5
10,ns=2;s=Channel2.RX3i.A114,A114,,ns=2;s=Channel2.RX3i.A115,A115,,49:53.5,1.754,0,93.4
11,ns=2;s=Channel2.RX3i.A116,A116,,ns=2;s=Channel2.RX3i.A117,A117,,49:53.5,1.754,55.6,93.4
12,ns=2;s=Channel2.RX3i.A118,A118,,ns=2;s=Channel2.RX3i.A119,A119,,49:53.5,1.754,0,93.4
13,ns=2;s=Channel2.RX3i.A12,A12,,ns=2;s=Channel2.RX3i.A120,A120,,49:53.5,1.754,0,93.4
14,ns=2;s=Channel2.RX3i.A121,A121,,ns=2;s=Channel2.RX3i.A122,A122,,49:53.5,1.754,25,93.4
15,ns=2;s=Channel2.RX3i.A123,A123,,ns=2;s=Channel2.RX3i.A124,A124,,49:53.5,1.754,0,93.4
16,ns=2;s=Channel2.RX3i.A125,A125,,ns=2;s=Channel2.RX3i.A126,A126,,49:53.5,1.754,0,93.4
17,ns=2;s=Channel2.RX3i.A127,A127,,ns=2;s=Channel2.RX3i.A128,A128,,49:53.5,1.754,12.5,93.4
18,ns=2;s=Channel2.RX3i.A129,A129,,ns=2;s=Channel2.RX3i.A13,A13,,49:53.5,1.754,0,93.4
19,ns=2;s=Channel2.RX3i.A130,A130,,ns=2;s=Channel2.RX3i.A131,A131,,49:53.5,1.754,0,93.4
20,ns=2;s=Channel2.RX3i.A132,A132,,ns=2;s=Channel2.RX3i.A133,A133,,49:53.5,1.754,0,93.4
21,ns=2;s=Channel2.RX3i.A134,A134,,ns=2;s=Channel2.RX3i.A135,A135,,49:53.5,1.754,0,93.4
22,ns=2;s=Channel2.RX3i.A136,A136,,ns=2;s=Channel2.RX3i.A137,A137,,49:53.5,1.754,0,93.4
23,ns=2;s=Channel2.RX3i.A138,A138,,ns=2;s=Channel2.RX3i.A139,A139,,49:53.5,1.754,0,93.4
24,ns=2;s=Channel2.RX3i.A14,A14,,ns=2;s=Channel2.RX3i.A140,A140,,49:53.5,1.754,0,93.4
25,ns=2;s=Channel2.RX3i.A141,A141,,ns=2;s=Channel2.RX3i.A142,A142,,49:53.5,1.754,0,93.4
1,ns=2;s=Channel2.RX3i.A1,A1,,ns=2;s=Channel2.RX3i.A10,A10,,49:53.7,1.938,10.8,93.4
2,ns=2;s=Channel2.RX3i.A100,A100,,ns=2;s=Channel2.RX3i.A1000,A1000,,49:53.7,1.938,0,93.4
3,ns=2;s=Channel2.RX3i.A101,A101,,ns=2;s=Channel2.RX3i.A102,A102,,49:53.7,1.938,0,93.4
4,ns=2;s=Channel2.RX3i.A103,A103,,ns=2;s=Channel2.RX3i.A104,A104,,49:53.7,1.938,0,93.4
5,ns=2;s=Channel2.RX3i.A105,A105,,ns=2;s=Channel2.RX3i.A106,A106,,49:53.7,1.938,0,93.4
6,ns=2;s=Channel2.RX3i.A107,A107,,ns=2;s=Channel2.RX3i.A108,A108,,13-02-2025 14:49:53.742,1.938,0,93.4
